전입_사유,20세 미만,20대,30대
계,149567.0,1233519.0,890814.0
직업,12673.0,490998.0,285188.0
가족,58681.0,325580.0,279882.0
주택,8410.0,188905.0,209662.0
교육,55854.0,97163.0,6575.0
주거환경,3971.0,60163.0,43112.0
자연환경,552.0,4856.0,5872.0
기타,9426.0,65854.0,60523.0
