"행정구역(시군구)별","연령별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전라북도","35 - 39세","시도간전출[명]","명","6092","5757","5971","5881","5822","6068","6131","5729","5462","4788",
"전라북도","40 - 44세","총전입[명]","명","23909","22896","24674","22609","20687","18528","19074","17475","19215","16175",
"전라북도","40 - 44세","총전출[명]","명","23250","22289","24020","22085","20214","18469","19400","17770","19187","16025",
"전라북도","40 - 44세","순이동[명]","명","659","607","654","524","473","59","-326","-295","28","150",
"전라북도","40 - 44세","시도내이동-시군구내[명]","명","12334","12056","13112","12216","10889","9454","10456","9552","10675","8680",
"전라북도","40 - 44세","시도내이동-시군구간 전입[명]","명","5482","5195","5651","4850","4594","4320","4296","3928","4013","3263",
"전라북도","40 - 44세","시도내이동-시군구간 전출[명]","명","5482","5195","5651","4850","4594","4320","4296","3928","4013","3263",
"전라북도","40 - 44세","시도간전입[명]","명","6093","5645","5911","5543","5204","4754","4322","3995","4527","4232",
"전라북도","40 - 44세","시도간전출[명]","명","5434","5038","5257","5019","4731","4695","4648","4290","4499","4082",
"전라북도","45 - 49세","총전입[명]","명","19175","18194","20721","20204","19188","18378","19505","18157","19866","16396",
"전라북도","45 - 49세","총전출[명]","명","18444","17502","20048","19707","18790","18100","19732","18235","19636","16179",
"전라북도","45 - 49세","순이동[명]","명","731","692","673","497","398","278","-227","-78","230","217",
"전라북도","45 - 49세","시도내이동-시군구내[명]","명","9783","9630","10995","10899","10009","9171","10719","9993","11397","8842",
"전라북도","45 - 49세","시도내이동-시군구간 전입[명]","명","4524","4139","4769","4581","4505","4539","4472","4039","4059","3496",
"전라북도","45 - 49세","시도내이동-시군구간 전출[명]","명","4524","4139","4769","4581","4505","4539","4472","4039","4059","3496",
"전라북도","45 - 49세","시도간전입[명]","명","4868","4425","4957","4724","4674","4668","4314","4125","4410","4058",
"전라북도","45 - 49세","시도간전출[명]","명","4137","3733","4284","4227","4276","4390","4541","4203","4180","3841",
"전라북도","50 - 54세","총전입[명]","명","17236","17060","18872","17871","16304","15686","16506","16208","18027","16242",
"전라북도","50 - 54세","총전출[명]","명","16667","16358","17988","17175","15833","15285","16324","15986","17510","15844",
"전라북도","50 - 54세","순이동[명]","명","569","702","884","696","471","401","182","222","517","398",
"전라북도","50 - 54세","시도내이동-시군구내[명]","명","8739","8835","9723","9371","8058","7654","8818","8719","10116","8821",
"전라북도","50 - 54세","시도내이동-시군구간 전입[명]","명","3966","3897","4490","4154","4124","4028","3891","3729","3767","3424",
"전라북도","50 - 54세","시도내이동-시군구간 전출[명]","명","3966","3897","4490","4154","4124","4028","3891","3729","3767","3424",
"전라북도","50 - 54세","시도간전입[명]","명","4531","4328","4659","4346","4122","4004","3797","3760","4144","3997",
"전라북도","50 - 54세","시도간전출[명]","명","3962","3626","3775","3650","3651","3603","3615","3538","3627","3599",
"전라북도","55 - 59세","총전입[명]","명","12319","12666","14209","14754","15157","14833","16168","14877","16178","14355",
"전라북도","55 - 59세","총전출[명]","명","11661","11899","13566","13970","14461","14270","15779","14561","15637","13640",
"전라북도","55 - 59세","순이동[명]","명","658","767","643","784","696","563","389","316","541","715",
"전라북도","55 - 59세","시도내이동-시군구내[명]","명","6055","6329","7182","7357","7498","6982","8154","7582","8490","7348",
"전라북도","55 - 59세","시도내이동-시군구간 전입[명]","명","2842","2818","3386","3479","3587","3832","4053","3609","3740","3155",
"전라북도","55 - 59세","시도내이동-시군구간 전출[명]","명","2842","2818","3386","3479","3587","3832","4053","3609","3740","3155",
"전라북도","55 - 59세","시도간전입[명]","명","3422","3519","3641","3918","4072","4019","3961","3686","3948","3852",
"전라북도","55 - 59세","시도간전출[명]","명","2764","2752","2998","3134","3376","3456","3572","3370","3407","3137",
"전라북도","60 - 64세","총전입[명]","명","9262","8856","9541","10033","10245","10185","11781","11595","13552","13651",
"전라북도","60 - 64세","총전출[명]","명","8786","8270","9071","9385","9826","9740","11470","11315","13086","12960",
"전라북도","60 - 64세","순이동[명]","명","476","586","470","648","419","445","311","280","466","691",
"전라북도","60 - 64세","시도내이동-시군구내[명]","명","4491","4193","4706","4910","4817","4641","5856","5750","6938","6739",
"전라북도","60 - 64세","시도내이동-시군구간 전입[명]","명","2191","2063","2335","2342","2552","2629","2928","2809","3125","3147",
"전라북도","60 - 64세","시도내이동-시군구간 전출[명]","명","2191","2063","2335","2342","2552","2629","2928","2809","3125","3147",
"전라북도","60 - 64세","시도간전입[명]","명","2580","2600","2500","2781","2876","2915","2997","3036","3489","3765",
"전라북도","60 - 64세","시도간전출[명]","명","2104","2014","2030","2133","2457","2470","2686","2756","3023","3074",
"전라북도","65 - 69세","총전입[명]","명","6535","6149","6973","7136","7092","6740","7324","7083","8228","8306",
"전라북도","65 - 69세","총전출[명]","명","6164","5861","6658","6840","6838","6379","7232","6826","7885","7902",
"전라북도","65 - 69세","순이동[명]","명","371","288","315","296","254","361","92","257","343","404",
"전라북도","65 - 69세","시도내이동-시군구내[명]","명","3193","3003","3562","3632","3570","3197","3749","3565","4444","4265",
"전라북도","65 - 69세","시도내이동-시군구간 전입[명]","명","1487","1389","1546","1643","1623","1619","1741","1633","1803","1809",
"전라북도","65 - 69세","시도내이동-시군구간 전출[명]","명","1487","1389","1546","1643","1623","1619","1741","1633","1803","1809",
"전라북도","65 - 69세","시도간전입[명]","명","1855","1757","1865","1861","1899","1924","1834","1885","1981","2232",
"전라북도","65 - 69세","시도간전출[명]","명","1484","1469","1550","1565","1645","1563","1742","1628","1638","1828",
"전라북도","70 - 74세","총전입[명]","명","5827","5572","5451","4996","4848","4613","5023","4765","5721","5414",
"전라북도","70 - 74세","총전출[명]","명","5644","5330","5257","4736","4731","4389","4971","4613","5503","5126",
"전라북도","70 - 74세","순이동[명]","명","183","242","194","260","117","224","52","152","218","288",
"전라북도","70 - 74세","시도내이동-시군구내[명]","명","2827","2705","2766","2495","2438","2273","2614","2478","3135","2909",
"전라북도","70 - 74세","시도내이동-시군구간 전입[명]","명","1340","1330","1207","1100","1186","1095","1166","1040","1157","1045",
"전라북도","70 - 74세","시도내이동-시군구간 전출[명]","명","1340","1330","1207","1100","1186","1095","1166","1040","1157","1045",
"전라북도","70 - 74세","시도간전입[명]","명","1660","1537","1478","1401","1224","1245","1243","1247","1429","1460",
"전라북도","70 - 74세","시도간전출[명]","명","1477","1295","1284","1141","1107","1021","1191","1095","1211","1172",
"전라북도","75 - 79세","총전입[명]","명","4428","4217","4392","3933","3850","3839","4045","3865","3958","3503",
"전라북도","75 - 79세","총전출[명]","명","4345","4184","4275","3918","3787","3833","4115","3894","3850","3428",
"전라북도","75 - 79세","순이동[명]","명","83","33","117","15","63","6","-70","-29","108","75",
"전라북도","75 - 79세","시도내이동-시군구내[명]","명","2015","1978","2080","1930","1894","1823","2106","2024","2133","1935",
"전라북도","75 - 79세","시도내이동-시군구간 전입[명]","명","1115","1019","1077","894","921","994","928","857","821","652",
"전라북도","75 - 79세","시도내이동-시군구간 전출[명]","명","1115","1019","1077","894","921","994","928","857","821","652",
"전라북도","75 - 79세","시도간전입[명]","명","1298","1220","1235","1109","1035","1022","1011","984","1004","916",
"전라북도","75 - 79세","시도간전출[명]","명","1215","1187","1118","1094","972","1016","1081","1013","896","841",
"전라북도","80세이상","총전입[명]","명","4972","5024","5453","5167","5359","5411","5814","5754","6159","5964",
"전라북도","80세이상","총전출[명]","명","5067","5197","5546","5391","5582","5632","6204","6081","6302","6183",
"전라북도","80세이상","순이동[명]","명","-95","-173","-93","-224","-223","-221","-390","-327","-143","-219",
"전라북도","80세이상","시도내이동-시군구내[명]","명","2284","2256","2608","2501","2561","2420","2831","2924","3201","3061",
"전라북도","80세이상","시도내이동-시군구간 전입[명]","명","1217","1291","1263","1258","1318","1423","1506","1334","1351","1293",
"전라북도","80세이상","시도내이동-시군구간 전출[명]","명","1217","1291","1263","1258","1318","1423","1506","1334","1351","1293",
"전라북도","80세이상","시도간전입[명]","명","1471","1477","1582","1408","1480","1568","1477","1496","1607","1610",
"전라북도","80세이상","시도간전출[명]","명","1566","1650","1675","1632","1703","1789","1867","1823","1750","1829",
"전라남도","계","총전입[명]","명","239026","244329","260278","250104","234132","227504","224384","224483","239016","223619",
"전라남도","계","총전출[명]","명","244080","246635","260874","246168","237337","230551","232414","233271","248770","228106",
"전라남도","계","순이동[명]","명","-5054","-2306","-596","3936","-3205","-3047","-8030","-8788","-9754","-4487",
"전라남도","계","시도내이동-시군구내[명]","명","92639","97685","107286","95042","89149","85559","83406","84162","92950","89248",
"전라남도","계","시도내이동-시군구간 전입[명]","명","50784","53781","54205","52661","51809","51613","51567","52252","58263","49323",
"전라남도","계","시도내이동-시군구간 전출[명]","명","50784","53781","54205","52661","51809","51613","51567","52252","58263","49323",
"전라남도","계","시도간전입[명]","명","95603","92863","98787","102401","93174","90332","89411","88069","87803","85048",
"전라남도","계","시도간전출[명]","명","100657","95169","99383","98465","96379","93379","97441","96857","97557","89535",
"전라남도","0 - 4세","총전입[명]","명","13965","14753","15862","14751","13273","11917","10430","9585","9570","7892",
"전라남도","0 - 4세","총전출[명]","명","14287","15481","16256","14456","13632","12717","11556","10583","10370","8691",
"전라남도","0 - 4세","순이동[명]","명","-322","-728","-394","295","-359","-800","-1126","-998","-800","-799",
"전라남도","0 - 4세","시도내이동-시군구내[명]","명","6085","6625","7593","6179","5572","4987","4466","4420","4509","3784",
"전라남도","0 - 4세","시도내이동-시군구간 전입[명]","명","2981","3554","3470","3439","3160","3003","2583","2155","2278","1750",
"전라남도","0 - 4세","시도내이동-시군구간 전출[명]","명","2981","3554","3470","3439","3160","3003","2583","2155","2278","1750",
"전라남도","0 - 4세","시도간전입[명]","명","4899","4574","4799","5133","4541","3927","3381","3010","2783","2358",
"전라남도","0 - 4세","시도간전출[명]","명","5221","5302","5193","4838","4900","4727","4507","4008","3583","3157",
"전라남도","5 - 9세","총전입[명]","명","12758","13991","14403","13451","12508","11797","11167","10197","11360","10163",
"전라남도","5 - 9세","총전출[명]","명","13156","14085","14297","12977","12160","11908","11440","10733","11357","9940",
"전라남도","5 - 9세","순이동[명]","명","-398","-94","106","474","348","-111","-273","-536","3","223",
"전라남도","5 - 9세","시도내이동-시군구내[명]","명","6806","7484","8030","6930","6332","6114","5823","5381","5878","5384",
"전라남도","5 - 9세","시도내이동-시군구간 전입[명]","명","2475","3008","2831","2629","2625","2535","2401","2254","2640","2116",
"전라남도","5 - 9세","시도내이동-시군구간 전출[명]","명","2475","3008","2831","2629","2625","2535","2401","2254","2640","2116",
"전라남도","5 - 9세","시도간전입[명]","명","3477","3499","3542","3892","3551","3148","2943","2562","2842","2663",
"전라남도","5 - 9세","시도간전출[명]","명","3875","3593","3436","3418","3203","3259","3216","3098","2839","2440",
"전라남도","10 - 14세","총전입[명]","명","13427","13214","13193","11761","10119","9099","8518","8313","8762","8233",
"전라남도","10 - 14세","총전출[명]","명","13856","13414","13157","11518","10016","9054","8684","8490","8815","8141",
"전라남도","10 - 14세","순이동[명]","명","-429","-200","36","243","103","45","-166","-177","-53","92",
"전라남도","10 - 14세","시도내이동-시군구내[명]","명","6788","6837","7250","5933","5157","4501","4195","4226","4647","4388",
"전라남도","10 - 14세","시도내이동-시군구간 전입[명]","명","3079","3162","2770","2541","2314","2142","2114","2104","2075","1846",
"전라남도","10 - 14세","시도내이동-시군구간 전출[명]","명","3079","3162","2770","2541","2314","2142","2114","2104","2075","1846",
"전라남도","10 - 14세","시도간전입[명]","명","3560","3215","3173","3287","2648","2456","2209","1983","2040","1999",
"전라남도","10 - 14세","시도간전출[명]","명","3989","3415","3137","3044","2545","2411","2375","2160","2093","1907",
"전라남도","15 - 19세","총전입[명]","명","15865","16380","16150","14735","13965","12710","11860","11695","10427","9628",
"전라남도","15 - 19세","총전출[명]","명","16370","16449","16598","15103","14599","13389","12417","12478","11678","10574",
"전라남도","15 - 19세","순이동[명]","명","-505","-69","-448","-368","-634","-679","-557","-783","-1251","-946",
"전라남도","15 - 19세","시도내이동-시군구내[명]","명","6347","6662","7071","6245","5652","5074","4554","4400","4467","4033",
"전라남도","15 - 19세","시도내이동-시군구간 전입[명]","명","4066","4151","3731","3320","3396","3076","2818","3025","2699","2331",
"전라남도","15 - 19세","시도내이동-시군구간 전출[명]","명","4066","4151","3731","3320","3396","3076","2818","3025","2699","2331",
"전라남도","15 - 19세","시도간전입[명]","명","5452","5567","5348","5170","4917","4560","4488","4270","3261","3264",
"전라남도","15 - 19세","시도간전출[명]","명","5957","5636","5796","5538","5551","5239","5045","5053","4512","4210",
"전라남도","20 - 24세","총전입[명]","명","17093","17605","19618","20141","19322","19016","19413","20099","20993","19793",
"전라남도","20 - 24세","총전출[명]","명","21399","21741","23535","23811","24521","23624","24194","26053","28025","26031",
"전라남도","20 - 24세","순이동[명]","명","-4306","-4136","-3917","-3670","-5199","-4608","-4781","-5954","-7032","-6238",
"전라남도","20 - 24세","시도내이동-시군구내[명]","명","5349","5859","6660","6290","5991","5790","5726","5933","6607","6489",
"전라남도","20 - 24세","시도내이동-시군구간 전입[명]","명","3520","3660","3875","3997","4130","4087","4285","4647","5093","4140",
"전라남도","20 - 24세","시도내이동-시군구간 전출[명]","명","3520","3660","3875","3997","4130","4087","4285","4647","5093","4140",
"전라남도","20 - 24세","시도간전입[명]","명","8224","8086","9083","9854","9201","9139","9402","9519","9293","9164",
"전라남도","20 - 24세","시도간전출[명]","명","12530","12222","13000","13524","14400","13747","14183","15473","16325","15402",
"전라남도","25 - 29세","총전입[명]","명","24983","22741","23708","23035","22062","22158","23371","25450","26587","26679",
"전라남도","25 - 29세","총전출[명]","명","27724","25285","25659","24865","24640","24698","26573","28018","30549","29697",
"전라남도","25 - 29세","순이동[명]","명","-2741","-2544","-1951","-1830","-2578","-2540","-3202","-2568","-3962","-3018",
"전라남도","25 - 29세","시도내이동-시군구내[명]","명","7461","7123","7384","6626","6378","6285","6766","7277","8180","8804",
"전라남도","25 - 29세","시도내이동-시군구간 전입[명]","명","5127","4687","4775","4762","4687","4919","5113","5674","6380","6025",
"전라남도","25 - 29세","시도내이동-시군구간 전출[명]","명","5127","4687","4775","4762","4687","4919","5113","5674","6380","6025",
"전라남도","25 - 29세","시도간전입[명]","명","12395","10931","11549","11647","10997","10954","11492","12499","12027","11850",
"전라남도","25 - 29세","시도간전출[명]","명","15136","13475","13500","13477","13575","13494","14694","15067","15989","14868",
"전라남도","30 - 34세","총전입[명]","명","26385","27323","29005","26884","23920","21906","19688","19398","20357","19294",
"전라남도","30 - 34세","총전출[명]","명","26535","27319","28864","25707","23872","21974","20693","20041","21422","20019",
"전라남도","30 - 34세","순이동[명]","명","-150","4","141","1177","48","-68","-1005","-643","-1065","-725",
"전라남도","30 - 34세","시도내이동-시군구내[명]","명","9636","10140","11251","9187","8412","7818","6824","6858","7258","7338",
"전라남도","30 - 34세","시도내이동-시군구간 전입[명]","명","5456","6051","6178","5817","5505","5137","4826","4616","5321","4602",
"전라남도","30 - 34세","시도내이동-시군구간 전출[명]","명","5456","6051","6178","5817","5505","5137","4826","4616","5321","4602",
"전라남도","30 - 34세","시도간전입[명]","명","11293","11132","11576","11880","10003","8951","8038","7924","7778","7354",
"전라남도","30 - 34세","시도간전출[명]","명","11443","11128","11435","10703","9955","9019","9043","8567","8843","8079",
"전라남도","35 - 39세","총전입[명]","명","21058","21437","22828","22652","21243","20950","20570","19826","21565","18221",
"전라남도","35 - 39세","총전출[명]","명","20877","20999","22183","21247","20506","20472","20927","20115","21674","18222",
"전라남도","35 - 39세","순이동[명]","명","181","438","645","1405","737","478","-357","-289","-109","-1",
"전라남도","35 - 39세","시도내이동-시군구내[명]","명","8538","8793","9799","8498","8147","7861","7725","7580","8210","7327",
"전라남도","35 - 39세","시도내이동-시군구간 전입[명]","명","4536","4912","4689","4853","4818","5030","5005","4780","5903","4480",
"전라남도","35 - 39세","시도내이동-시군구간 전출[명]","명","4536","4912","4689","4853","4818","5030","5005","4780","5903","4480",
"전라남도","35 - 39세","시도간전입[명]","명","7984","7732","8340","9301","8278","8059","7840","7466","7452","6414",
"전라남도","35 - 39세","시도간전출[명]","명","7803","7294","7695","7896","7541","7581","8197","7755","7561","6415",
"전라남도","40 - 44세","총전입[명]","명","20934","21417","22932","21539","19205","18232","17415","16617","18593","16910",
"전라남도","40 - 44세","총전출[명]","명","20254","20486","22152","20335","18289","17549","17079","16473","18527","16445",
"전라남도","40 - 44세","순이동[명]","명","680","931","780","1204","916","683","336","144","66","465",
"전라남도","40 - 44세","시도내이동-시군구내[명]","명","8569","9003","9982","8665","7755","7099","6706","6457","7496","7082",
"전라남도","40 - 44세","시도내이동-시군구간 전입[명]","명","4658","4905","4987","4604","4338","4312","4347","4219","5020","3949",
"전라남도","40 - 44세","시도내이동-시군구간 전출[명]","명","4658","4905","4987","4604","4338","4312","4347","4219","5020","3949",
"전라남도","40 - 44세","시도간전입[명]","명","7707","7509","7963","8270","7112","6821","6362","5941","6077","5879",
"전라남도","40 - 44세","시도간전출[명]","명","7027","6578","7183","7066","6196","6138","6026","5797","6011","5414",
"전라남도","45 - 49세","총전입[명]","명","18215","18656","20650","19811","18590","18529","17947","18116","19467","16908",
"전라남도","45 - 49세","총전출[명]","명","17194","17586","19362","18364","17641","17462","17359","17490","18898","16055",
"전라남도","45 - 49세","순이동[명]","명","1021","1070","1288","1447","949","1067","588","626","569","853",
"전라남도","45 - 49세","시도내이동-시군구내[명]","명","7290","7766","8757","7936","7399","7283","7082","7234","7992","6936",
"전라남도","45 - 49세","시도내이동-시군구간 전입[명]","명","4144","4263","4473","4300","4217","4368","4242","4345","4936","3978",
"전라남도","45 - 49세","시도내이동-시군구간 전출[명]","명","4144","4263","4473","4300","4217","4368","4242","4345","4936","3978",
"전라남도","45 - 49세","시도간전입[명]","명","6781","6627","7420","7575","6974","6878","6623","6537","6539","5994",
"전라남도","45 - 49세","시도간전출[명]","명","5760","5557","6132","6128","6025","5811","6035","5911","5970","5141",
"전라남도","50 - 54세","총전입[명]","명","16546","17497","18986","17933","16708","16431","16820","17565","19151","18251",
"전라남도","50 - 54세","총전출[명]","명","15491","16031","17577","16358","15612","15225","15618","16657","17873","16674",
"전라남도","50 - 54세","순이동[명]","명","1055","1466","1409","1575","1096","1206","1202","908","1278","1577",
"전라남도","50 - 54세","시도내이동-시군구내[명]","명","6313","6923","7700","6860","6478","6312","6309","6864","7479","7616",
"전라남도","50 - 54세","시도내이동-시군구간 전입[명]","명","3492","3795","4041","3864","3810","3862","3908","4259","4738","3940",
"전라남도","50 - 54세","시도내이동-시군구간 전출[명]","명","3492","3795","4041","3864","3810","3862","3908","4259","4738","3940",
"전라남도","50 - 54세","시도간전입[명]","명","6741","6779","7245","7209","6420","6257","6603","6442","6934","6695",
"전라남도","50 - 54세","시도간전출[명]","명","5686","5313","5836","5634","5324","5051","5401","5534","5656","5118",
"전라남도","55 - 59세","총전입[명]","명","11240","12171","14362","15148","15322","15526","16415","15981","17095","16634",
"전라남도","55 - 59세","총전출[명]","명","10483","10951","13326","13625","14031","14100","15150","14813","15858","14749",
"전라남도","55 - 59세","순이동[명]","명","757","1220","1036","1523","1291","1426","1265","1168","1237","1885",
"전라남도","55 - 59세","시도내이동-시군구내[명]","명","4148","4548","5517","5515","5672","5605","5937","5869","6502","6350",
