지역,지역별 강소기업 갯수
강원,244
경기,5107
경남,1071
경북,884
광주,312
대구,675
대전,429
부산,872
서울,2991
세종,52
울산,263
인천,1003
전남,420
전북,324
제주,78
충남,682
충북,555
