시도명,청년인구
서울,489384
부산,146114
대구,104823
인천,138568
광주,66496
대전,64361
울산,40190
세종,9617
경기,579851
강원,56404
충북,60164
충남,84970
전북,69075
전남,71447
경북,100105
경남,128482
제주,31481
