시도명,청년인구
강원,56404
경기,579851
경남,128482
경북,100105
광주,66496
대구,104823
대전,64361
부산,146114
서울,489384
세종,9617
울산,40190
인천,138568
전남,71447
전북,69075
제주,31481
충남,84970
충북,60164
