"강원",양구군,3,1.26,27,11.33,23835
"강원",인제군,9,2.76,24,7.37,32582
"강원",고성군,2,0.67,9,3,30029
"강원",양양군,3,1.1,9,3.31,27207
"충북",청주시,25,0.3,179,2.14,835590
"충북",충주시,3,0.14,10,0.48,208316
"충북",제천시,5,0.37,13,0.95,136432
"충북",보은군,14,4.11,20,5.87,34053
"충북",옥천군,10,1.93,38,7.34,51766
"충북",영동군,2,0.4,7,1.39,50240
"충북",진천군,17,2.31,27,3.66,73677
"충북",괴산군,0,0,0,0,39054
"충북",음성군,15,1.54,35,3.6,97306
"충북",단양군,9,2.98,18,5.96,30215
"충북",증평군,9,2.38,18,4.76,37783
"충남",천안시,3,0.05,498,7.89,631531
"충남",공주시,1,0.09,7,0.65,108432
"충남",보령시,12,1.16,77,7.46,103198
"충남",아산시,1,0.03,40,1.28,311453
"충남",서산시,1,0.06,5,0.29,171678
"충남",논산시,1,0.08,33,2.7,122240
"충남",계룡시,1,0.23,15,3.41,43967
"충남",금산군,3,0.56,13,2.41,53894
"충남",부여군,4,0.58,46,6.66,69086
"충남",서천군,9,1.63,9,1.63,55175
"충남",청양군,28,8.53,33,10.05,32837
"충남",홍성군,4,0.39,4,0.39,101570
"충남",예산군,2,0.25,37,4.61,80338
"충남",태안군,1,0.16,30,4.69,63932
"충남",당진시,4,0.24,41,2.45,167439
"전북",전주시,152,2.34,622,9.58,648964
"전북",군산시,5,0.18,105,3.82,274997
"전북",익산시,38,1.27,57,1.9,300187
"전북",정읍시,2,0.18,3,0.26,113776
"전북",남원시,11,1.32,188,22.57,83281
"전북",김제시,0,0,0,0,86926
"전북",완주군,5,0.52,29,3.02,95975
"전북",진안군,1,0.38,12,4.57,26271
"전북",무주군,3,1.21,3,1.21,24809
"전북",장수군,1,0.43,6,2.61,23003
"전북",임실군,4,1.33,11,3.65,30162
"전북",순창군,7,2.36,31,10.44,29698
"전북",고창군,1,0.17,5,0.83,60472
"전북",부안군,1,0.18,27,4.81,56086
"전남",목포시,1,0.04,17,0.73,234379
"전남",여수시,1,0.03,5,0.17,286382
"전남",순천시,23,0.82,306,10.95,279331
"전남",나주시,4,0.36,75,6.81,110110
"전남",광양시,1,0.06,58,3.72,155857
"전남",담양군,0,0,0,0,47285
"전남",곡성군,9,2.99,9,2.99,30131
"전남",구례군,1,0.36,1,0.36,27525
"전남",고흥군,8,1.2,13,1.95,66736
"전남",보성군,2,0.46,26,5.94,43755
"전남",화순군,0,0,0,0,64680
"전남",장흥군,12,2.99,18,4.48,40136
"전남",강진군,6,1.63,92,24.95,36868
"전남",해남군,12,1.63,16,2.17,73604
"전남",영암군,0,0,0,0,55616
"전남",무안군,2,0.24,7,0.84,82872
"전남",함평군,6,1.75,6,1.75,34328
"전남",영광군,19,3.47,24,4.38,54774
"전남",장성군,10,2.17,14,3.04,46111
"전남",완도군,1,0.19,11,2.11,52109
"전남",진도군,10,3.15,52,16.37,31765
"전남",신안군,2,0.48,5,1.19,42070
"경북",포항시,6,0.12,19,0.37,513832
"경북",경주시,22,0.85,425,16.48,257903
"경북",김천시,1,0.07,22,1.54,142908
"경북",안동시,32,1.92,86,5.17,166272
"경북",구미시,2,0.05,7,0.17,421799
"경북",영주시,1,0.09,1,0.09,108371
"경북",영천시,16,1.59,37,3.68,100615
"경북",상주시,7,0.69,12,1.19,100947
"경북",문경시,28,3.82,49,6.69,73294
"경북",경산시,3,0.12,42,1.62,259485
"경북",군위군,8,3.3,8,3.3,24215
"경북",의성군,12,2.24,21,3.93,53474
"경북",청송군,9,3.46,28,10.77,26006
"경북",영양군,0,0,0,0,17479
"경북",영덕군,1,0.26,6,1.56,38529
"경북",청도군,6,1.38,6,1.38,43346
"경북",고령군,5,1.48,17,5.03,33768
"경북",성주군,24,5.32,34,7.53,45138
"경북",칠곡군,5,0.41,5,0.41,120864
"경북",예천군,4,0.81,24,4.87,49253
"경북",봉화군,1,0.3,4,1.2,33259
"경북",울진군,4,0.78,4,0.78,50974
"경북",울릉군,11,11.03,11,11.03,9975
"경남",창원시,28,0.26,122,1.15,1057032
"경남",진주시,0,0,0,0,346681
"경남",통영시,45,3.31,205,15.09,135833
"경남",사천시,8,0.7,59,5.16,114252
"경남",김해시,43,0.81,135,2.54,532132
"경남",밀양시,4,0.37,49,4.54,107898
